Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,13,90,0,103
 Baja California,BC,Noroeste,349,2754,145,3248
 Baja California Sur,BS,Noroeste,11,65,1,77
 Campeche,CM,Sureste,14,93,0,107
 Coahuila de Zaragoza,CO,Noreste,26,145,0,171
 Colima,CL,Occidente,66,539,2,607
 Chiapas,CS,Sureste,66,498,4,568
 Chihuahua,CH,Noroeste,335,2396,8,2739
 CDMX,CX,Centro-Sur,127,948,1,1076
 Durango,DG,Noroeste,9,133,1,143
 Guanajuato,GT,Noreste,571,3697,65,4333
 Guerrero,GR,Centro-Sur,153,1302,13,1468
 Hidalgo,HG,Occidente,44,243,0,287
 Jalisco,JC,Noroeste,256,2011,7,2274
 Mexico,EM,Occidente,438,2653,28,3119
 Michoacan,MI,Occidente,276,2417,3,2696
 Morelos,MO,Centro-Sur,101,1098,0,1199
 Nayarit,NA,Noroeste,31,186,5,222
 Nuevo Leon,NL,Noreste,103,967,0,1070
 Oaxaca,OA,Sureste,91,695,0,786
 Puebla,PU,Centro-Sur,113,731,3,847
 Queretaro,QT,Noreste,27,204,0,231
 Quintana Roo,QR,Sureste,76,601,0,677
 San Luis Potosi,SL,Noreste,84,704,9,797
 Sinaloa,SI,Noroeste,36,598,1,635
 Sonora,SO,Noroeste,157,1856,76,2089
 Tabasco,TB,Sureste,46,407,0,453
 Tamaulipas,TM,Noreste,63,633,43,739
 Tlaxcala,TL,Centro-Sur,29,131,0,160
 Veracruz,VE,Sureste,112,835,1,948
 Yucatan,YU,Sureste,8,47,0,55
 Zacatecas,ZA,Noreste,171,1586,19,1776